"table","column","enrich_build_order","enrich_rule"
"CV","ELEMENT",80,"sdtme_std_etcd_v$$"
"CV","EPOCH",70,"sdtme_std_epoch_v$$"
"CV","ETCD",80,"sdtme_std_etcd_v$$"
"CV","VISIT",30,"sdtme_std_visit_v$$"
"CV","VISITDY",60,"sdtme_std_visitdy_v$$"
"DA","DADY",10,"sdtme_std_dy_v$$"
"DA","DASTRESC",50,"sdtme_std_stres_v$$"
"DA","DASTRESN",50,"sdtme_std_stres_v$$"
"DA","DASTRESU",40,"sdtme_std_stresu_v$$"
"DA","ELEMENT",70,"sdtme_std_etcd_v$$"
"DA","EPOCH",60,"sdtme_std_epoch_v$$"
"DA","ETCD",70,"sdtme_std_etcd_v$$"
"DA","VISIT",20,"sdtme_std_visit_v$$"
"DA","VISITDY",30,"sdtme_std_visitdy_v$$"
"DD","DDDY",10,"sdtme_std_dy_v$$"
"DD","DDSTRESC",20,"sdtme_std_stres_v$$"
"DD","ELEMENT",40,"sdtme_std_etcd_v$$"
"DD","EPOCH",30,"sdtme_std_epoch_v$$"
"DD","ETCD",40,"sdtme_std_etcd_v$$"
"DE","DEDY",10,"sdtme_std_dy_v$$"
"DE","DEENDY",10,"sdtme_std_dy_v$$"
"DE","DESTDY",10,"sdtme_std_dy_v$$"
"DE","ELEMENT",50,"sdtme_std_etcd_v$$"
"DE","EPOCH",40,"sdtme_std_epoch_v$$"
"DE","ETCD",50,"sdtme_std_etcd_v$$"
"DE","VISIT",20,"sdtme_std_visit_v$$"
"DE","VISITDY",30,"sdtme_std_visitdy_v$$"
"DM","ACTARM",20,"sdtme_dm_arm_v$$"
"DM","ACTARMCD",20,"sdtme_dm_arm_v$$"
"DM","AGE",30,"#age_at_baseline_rl"
"DM","AGEU",30,"#age_at_baseline_rl"
"DM","ARM",20,"sdtme_dm_arm_v$$"
"DM","ARMCD",20,"sdtme_dm_arm_v$$"
"DM","COUNTRY",5,"sdtme_dm_site_v$$"
"DM","DMDY",50,"sdtme_std_dy_v$$"
"DM","DOMAIN",1,"sdtme_pc_dtc_v$$"
"DM","DOMAIN",60,"sdtme_dm_iusubjid_v$$"
"DM","DTHDTC",40,"sdtme_dm_dth_v$$"
"DM","DTHFL",40,"sdtme_dm_dth_v$$"
"DM","INVID",5,"sdtme_dm_site_v$$"
"DM","INVNAM",5,"sdtme_dm_site_v$$"
"DM","RFENDTC",10,"sdtme_dm_rfdts_v$$"
"DM","RFICDTC",10,"sdtme_dm_rfdts_v$$"
"DM","RFPENDTC",10,"sdtme_dm_rfdts_v$$"
"DM","RFSTDTC",10,"sdtme_dm_rfdts_v$$"
"DM","RFXENDTC",10,"sdtme_dm_rfdts_v$$"
"DM","RFXSTDTC",10,"sdtme_dm_rfdts_v$$"
"DM","SITEID",5,"sdtme_dm_site_v$$"
"DO","VISIT",20,"sdtme_std_visit_v$$"
"DO","VISITDY",30,"sdtme_std_visitdy_v$$"
"DS","DOMAIN",45,"sdtme_ds_dth_v$$"
"DS","DSDY",20,"sdtme_std_dy_v$$"
"DS","DSENDY",20,"sdtme_std_dy_v$$"
"DS","DSEPRELI",70,"sdtme_std_epreli_v$$"
"DS","DSSTDY",20,"sdtme_std_dy_v$$"
"DS","DSTERM",10,"sdtme_ds_term_v$$"
"DS","ELEMENT",60,"sdtme_std_etcd_v$$"
"DS","EPOCH",50,"sdtme_std_epoch_v$$"
"DS","ETCD",60,"sdtme_std_etcd_v$$"
"DS","VISIT",30,"sdtme_std_visit_v$$"
"DS","VISITDY",40,"sdtme_std_visitdy_v$$"
"DT","DTDY",10,"sdtme_std_dy_v$$"
"DT","DTENDY",10,"sdtme_std_dy_v$$"
"DT","DTSTDY",10,"sdtme_std_dy_v$$"
"DT","VISIT",11,"sdtme_std_visit_v$$"
"DT","VISITDY",12,"sdtme_std_visitdy_v$$"
"DU","DUBLFL",20,"sdtme_std_blfl_v$$"
"DU","DUDY",10,"sdtme_std_dy_v$$"
"DU","DUENDY",10,"sdtme_std_dy_v$$"
"DU","DUSTRESC",60,"sdtme_std_stres_v$$"
"DU","DUSTRESN",60,"sdtme_std_stres_v$$"
"DU","DUSTRESU",50,"sdtme_std_stresu_v$$"
"DU","ELEMENT",80,"sdtme_std_etcd_v$$"
"DU","EPOCH",70,"sdtme_std_epoch_v$$"
"DU","ETCD",80,"sdtme_std_etcd_v$$"
"DU","VISIT",30,"sdtme_std_visit_v$$"
"DU","VISITDY",40,"sdtme_std_visitdy_v$$"
"DV","DOMAIN",5,"sdtme_dv_import_v$$"
"DX","DXENDY",10,"sdtme_std_dy_v$$"
"DX","DXSTDY",10,"sdtme_std_dy_v$$"
"DX","ELEMENT",30,"sdtme_std_etcd_v$$"
"DX","EPOCH",20,"sdtme_std_epoch_v$$"
"DX","ETCD",30,"sdtme_std_etcd_v$$"
"DX","VISIT",11,"sdtme_std_visit_v$$"
"DX","VISITDY",12,"sdtme_std_visitdy_v$$"
"EC","ECENDY",10,"sdtme_std_dy_v$$"
"EC","ECLNKID",40,"sdtme_ec_eclnkid_v$$"
"EC","ECSTDY",10,"sdtme_std_dy_v$$"
"EC","ELEMENT",30,"sdtme_std_etcd_v$$"
"EC","EPOCH",20,"sdtme_std_epoch_v$$"
